"name","movie_duration","movie_year","genres","countries"
"Иезавель",104,1938,"[драма, мелодрама]","[США]"
"47 ронинов",204,1962,"[боевик, драма, история]","[Япония]"
"Живем один раз",86,1937,"[фильм-нуар, драма, криминал]","[США]"
"Колдун 2",113,2003,"[фэнтези, боевик]","[Япония]"
"Ильза, тигрица из Сибири",85,1977,"[ужасы]","[Канада]"
"Никаких проблем!",105,1975,"[комедия]","[Франция]"
"Золото Маккенны",128,1969,"[мелодрама, вестерн, приключения]","[США]"
"Блеф Кугана",93,1968,"[боевик, триллер]","[США]"
"Сова появляется днем",112,1967,"[триллер, драма, криминал, детектив]","[Италия, Франция]"
"Пиноккио 964",97,1991,"[ужасы, фантастика]","[Япония]"
"Исход",208,1960,"[боевик, драма, военный, история]","[США]"
"Братья Карамазовы",145,1958,"[драма, мелодрама]","[США]"
"Три лица Евы",91,1957,"[драма, детектив]","[США]"
"Человек в сером фланелевом костюме",153,1956,"[драма, военный]","[США]"
"Левая рука Бога",87,1955,"[драма]","[США]"
"Весь город говорит",118,1942,"[триллер, драма, мелодрама, комедия]","[США]"
"Воровское шоссе",94,1949,"[фильм-нуар, триллер, драма]","[США]"
"Бумеранг!",88,1947,"[фильм-нуар, драма, криминал]","[США]"
"Крик совы",91,2006,"[комедия, приключения, семейный]","[США]"
"Военная игра",48,1965,"[фантастика, драма, военный]","[Великобритания]"
"Гонщик",85,1928,"[боевик, комедия, семейный]","[США]"
"Анна и король Сиама",128,1946,"[драма, мелодрама, биография]","[США]"
"Подозрение",99,1941,"[триллер, детектив]","[США]"
"Четыре ночи мечтателя",87,1971,"[драма, мелодрама]","[Франция, Италия]"
"Разденься для убийцы",98,1975,"[триллер, детектив]","[Италия]"
"Грошовая серенада",119,1941,"[драма, мелодрама]","[США]"
"Рождественские каникулы",97,1989,"[комедия, семейный]","[США]"
"Тора! Тора! Тора!",144,1970,"[военный, история, боевик, драма]","[Япония, США]"
"Ремагенский мост",112,1969,"[боевик, драма, военный]","[США]"
"Шесть шведок с бензоколонки",75,1980,"[фэнтези, комедия]","[Швейцария]"
"Сломанное копье",96,1954,"[вестерн]","[США]"
"Моя любимая жена",88,1940,"[мелодрама, комедия]","[США]"
"Дни вина и роз",112,1962,"[драма]","[США]"
"Чужой среди нас",110,1992,"[драма, мелодрама, криминал]","[США]"
"На холостом ходу",116,1988,"[драма, мелодрама, криминал, музыка]","[США]"
"На следующее утро",103,1986,"[триллер, мелодрама, криминал, детектив]","[США]"
"Смертельная ловушка",116,1982,"[триллер, комедия, криминал, детектив]","[США]"
"Эквус",137,1977,"[драма, детектив]","[США, Великобритания]"
"Зорро",125,1975,"[боевик, комедия, приключения, вестерн]","[Италия, Франция]"
"Только у ангелов есть крылья",121,1939,"[драма, приключения]","[США]"
"Оскорбление",113,1973,"[драма, криминал, триллер]","[Великобритания, США]"
"Детская игра",100,1972,"[ужасы, триллер, драма, детектив]","[США]"
"Свидание",115,1969,"[драма]","[США]"
"Дело самоубийцы",107,1966,"[триллер, драма, мелодрама, криминал, детектив]","[Великобритания]"
"Холм",123,1965,"[драма, военный]","[Великобритания]"
"Ганга Дин",117,1939,"[приключения, военный]","[США]"
"Ростовщик",116,1964,"[драма]","[США]"
"Такая женщина",92,1959,"[драма, мелодрама, комедия, военный]","[США]"
"Моргиана",106,1972,"[ужасы, драма]","[Чехословакия]"
"Золотая молодежь",106,2003,"[драма, комедия, военный]","[Великобритания]"
"Последний занавес",85,2002,"[драма]","[Великобритания, США]"
"Полный беспредел",106,2002,"[драма, комедия]","[Канада, Великобритания]"
"Фантомы",96,1998,"[ужасы, фантастика, триллер]","[США, Япония]"
"Король Ральф",97,1991,"[мелодрама, комедия]","[США]"
"Молот ведьм",103,1969,"[драма, история]","[Чехословакия]"
"Крылья славы",116,1990,"[фэнтези, драма, комедия]","[Нидерланды]"
"В лунную ночь",109,1989,"[драма]","[Италия, Франция]"
"Чистыми руками",95,1972,"[боевик, триллер, криминал]","[Румыния, Германия (ФРГ)]"
"Супергёрл",120,1984,"[фантастика, фэнтези, боевик, приключения]","[Великобритания, США]"
"Праздник",95,1938,"[мелодрама, комедия]","[США]"
"Мой лучший год",92,1982,"[комедия]","[США]"
"Калигула",156,1979,"[для взрослых, драма, история]","[Италия, США]"
"Рассвет зулусов",113,1979,"[драма, приключения, военный, история]","[США, ЮАР, Нидерланды, Великобритания]"
"Комиссар полиции обвиняет",114,1973,"[боевик, триллер, драма, криминал]","[Румыния]"
"Правящий класс",154,1972,"[драма, комедия, музыка]","[Великобритания]"
"Человек из Ла Манчи",132,1972,"[мюзикл, фэнтези, драма, мелодрама]","[Италия, США]"
"Ужасная правда",91,1937,"[мелодрама, комедия]","[США]"
"Война Мерфи",107,1970,"[драма, военный]","[Великобритания]"
"Ночь генералов",148,1966,"[триллер, драма, криминал, детектив, военный]","[Великобритания, Франция]"
"Как украсть миллион",123,1966,"[мелодрама, комедия, криминал]","[США]"
"Кулик",117,1965,"[драма]","[США]"
"Что нового, кошечка?",108,1965,"[комедия]","[Франция, США]"
"В старые добрые времена",93,1980,"[комедия]","[Чехословакия]"
"Поймет лишь одинокий",104,1991,"[мелодрама, комедия]","[США]"
"Месть",124,1989,"[боевик, триллер, драма, мелодрама, криминал]","[США, Мексика]"
"Топпер",97,1937,"[фэнтези, мелодрама, комедия]","[США]"
"16 кварталов",105,2006,"[боевик, триллер, драма, криминал]","[Германия, США]"
"Долина пчел",97,1967,"[драма, история]","[Чехословакия]"
"Лев пустыни",173,1981,"[драма, военный, биография, история]","[Ливия, США]"
"Послание",177,1976,"[драма, приключения, биография, история]","[Ливан, Ливия, Кувейт, Марокко, Великобритания]"
"Блеф",110,1976,"[комедия, криминал]","[Италия]"
"Марсельский контракт",89,1974,"[боевик, триллер, драма, криминал]","[Великобритания, Франция]"
"На той стороне 110-й улицы",102,1972,"[боевик, триллер, драма, криминал]","[США]"
"Материнская любовь",150,1966,"[мюзикл, мелодрама, семейный]","[Индия]"
"Тайна Санта-Виттории",139,1969,"[драма, комедия, военный]","[США]"
"Удивительные приключения",61,1936,"[драма, мелодрама, комедия]","[Великобритания]"
"Маг",117,1968,"[фэнтези, драма, детектив]","[Великобритания]"
"Пропавший отряд",128,1966,"[драма, военный]","[США]"
"Грек Зорба",142,1964,"[драма, приключения]","[Греция, США]"
"Разбойник Варавва",144,1961,"[драма, приключения, биография, история]","[Италия, США]"
"Последний поезд из Ган Хилл",95,1959,"[мелодрама, вестерн]","[США]"
"Я – группи",89,1970,"[драма, музыка]","[Германия (ФРГ), Швейцария]"
"А ну-ка, девочка, разденься!",85,1973,"[комедия]","[Германия (ФРГ)]"
"Собор Парижской Богоматери",105,1956,"[драма, история, ужасы]","[Франция, Италия]"
"Жажда жизни",122,1956,"[драма, биография]","[США]"
"Линкольн",150,2012,"[драма, военный, биография, история]","[США, Индия]"
"Пираты Карибского моря: На краю Света",169,2007,"[фэнтези, боевик, приключения]","[США]"
"Вавилон",143,2006,"[драма]","[Франция, США, Мексика]"
"Как трусливый Роберт Форд убил Джесси Джеймса",160,2007,"[драма, криминал, вестерн, биография, история]","[США, Канада, Великобритания]"
"Жена путешественника во времени",107,2008,"[фантастика, фэнтези, драма, мелодрама]","[США]"
"Дом у озера",99,2006,"[фэнтези, драма, мелодрама]","[США, Австралия]"
"Город на границе",112,2006,"[триллер, драма, криминал, детектив]","[США]"
"Смертельная гонка",111,2008,"[фантастика, боевик, триллер]","[США, Германия, Великобритания]"
"Одинокие сердца",108,2005,"[триллер, драма, мелодрама, криминал]","[Германия, США]"
"Вторжение",120,2006,"[драма, мелодрама]","[Великобритания, США]"
"5 неизвестных",85,2005,"[триллер, драма, криминал, детектив]","[США]"
"Никогда не говори «Прощай»",193,2006,"[драма]","[Индия]"
"Загадка",140,2005,"[фэнтези, мелодрама]","[Индия]"
"Кот в сапогах",90,2011,"[мультфильм, фэнтези, комедия, приключения, семейный]","[США]"
"Держи ритм",118,2006,"[драма, музыка]","[США]"
"Плетеный человек",102,2006,"[ужасы, триллер, детектив]","[США, Германия, Канада]"
"Приключения Одиссея",91,1954,"[фэнтези, приключения]","[Италия, США, Франция]"
"Хэнкок",88,2008,"[фантастика, боевик, драма, комедия]","[США]"
"Джейн Остин",120,2006,"[драма, мелодрама, биография]","[Великобритания, Ирландия]"
"Свободная зона",90,2005,"[драма, комедия]","[Израиль, Бельгия, Франция, Испания]"
"Домино",86,2005,"[триллер, детектив]","[США]"
"Развод по-американски",106,2006,"[драма, мелодрама, комедия]","[США]"
"Бесстрашный",104,2006,"[боевик, драма, биография, спорт]","[Китай, Гонконг]"
"Медики (сериал)",23,2002,"[комедия]","[Россия]"
"Преодоление",105,2006,"[драма, биография, спорт]","[США]"
"Анатомия насилия",74,2005,"[ужасы, триллер]","[США]"
"Бесчестье",119,2008,"[драма]","[Австралия, ЮАР]"
"Шайтан",94,2006,"[ужасы, триллер, комедия]","[Франция]"
"Он, она и попугай",95,2011,"[драма, мелодрама]","[США]"
"Возвращение",116,2006,"[драма, комедия, криминал, детектив]","[Испания]"
"Снежный пирог",112,2006,"[драма, мелодрама]","[Канада, Великобритания]"
"Любовь в стиле сальса",102,2006,"[боевик, триллер, комедия, криминал]","[США]"
"Тени прошлого (видео)",91,2006,"[боевик, триллер]","[США, Великобритания, Румыния]"
"Отряд «Дракон»",110,2005,"[боевик, драма, криминал]","[Гонконг, Китай]"
"Давилка 3: Возрождение (видео)",84,2005,"[ужасы, фантастика]","[США]"
"Иллюзионист",110,2005,"[триллер, драма, мелодрама, детектив]","[США, Чехия]"
"Лондон",92,2005,"[драма, мелодрама]","[Великобритания, США]"
"Лезвия славы: Звездуны на льду",93,2007,"[комедия, спорт]","[США]"
"Разрисованная вуаль",125,2006,"[драма, мелодрама]","[Китай, США, Канада]"
"Любовь и другие катастрофы",90,2005,"[мелодрама, комедия]","[Франция, Великобритания]"
"Секрет",93,2006,"[драма, мелодрама]","[Франция, Канада]"
"Уроки вождения",98,2006,"[драма, комедия]","[Великобритания]"
"Наблюдение",97,2008,"[триллер, драма, криминал, детектив]","[США, Германия, Канада]"
"Оптом дешевле 2",94,2005,"[комедия, приключения, семейный]","[США, Канада]"
"Минотавр",93,2006,"[ужасы, фэнтези, приключения]","[Великобритания, Люксембург, Германия, Франция, Испания, Италия, США]"
"Дурдом на колесах",99,2006,"[комедия, приключения, семейный]","[Великобритания, Германия, США]"
"Ночной слушатель",81,2006,"[детектив, драма, триллер]","[США]"
"Охранник",108,2006,"[боевик, триллер, криминал]","[США]"
"Контракт",96,2005,"[боевик, триллер, драма, криминал]","[Германия, США]"
"Мадонна. Я хочу открыть вам свои секреты",126,2005,"[документальный, музыка]","[США]"
"Жатва",99,2007,"[ужасы, триллер]","[США]"
"Беовульф",113,2007,"[мультфильм, фэнтези, боевик, драма, приключения]","[США]"
"Разрыв",116,2007,"[драма, мелодрама]","[Канада, ЮАР, Великобритания]"
"Снежные ангелы",103,2006,"[драма, мелодрама]","[США]"
"Каратель: Территория войны",103,2008,"[боевик, триллер, драма, криминал]","[США, Канада, Германия]"
"Пекло",107,2007,"[фантастика, триллер, приключения]","[Великобритания, США]"
"Ну что, приехали: Ремонт",92,2007,"[драма, комедия, семейный]","[Канада, США]"
"Девушка из воды",110,2006,"[фэнтези, триллер, детектив]","[США]"
"Байкеры 2: Настоящие чувства",152,2006,"[боевик, триллер]","[Индия]"
"Банти и Бабли",170,2005,"[комедия, криминал, приключения]","[Индия]"
42,128,2013,"[спорт, драма, биография]","[США]"
"Катакомбы",100,2006,"[ужасы, триллер]","[США]"
"Принцессы",109,2005,"[драма]","[Испания]"
"Несколько дней в сентябре",116,2006,"[триллер, драма, военный]","[Италия, Франция, Португалия]"
"Последний танец",90,2006,"[боевик, мелодрама, комедия, криминал]","[Сингапур]"
"Грейси",95,2007,"[драма, биография, спорт]","[США]"
"Наши соседи Ямада",104,1999,"[аниме, мультфильм, комедия, семейный]","[Япония]"
"Одержимость",103,2006,"[триллер, драма, детектив]","[Австралия]"
"Осквернители могил",95,2006,"[ужасы]","[США]"
"Остаться в живых",85,2006,"[ужасы, триллер]","[США]"
"Последнее желание",96,2005,"[драма, комедия]","[США]"
"Хороший немец",105,2006,"[триллер, драма, детектив]","[США]"
"Сильвия Скарлетт",95,1935,"[драма, мелодрама, комедия]","[США]"
"Месть бедняка",150,2005,"[драма, приключения]","[Франция]"
"Дублер",85,2006,"[драма, комедия]","[Франция, Италия, Бельгия]"
"Синдбад-мореход",116,1947,"[фэнтези, мелодрама, приключения]","[США]"
"Веселые и загорелые",97,2006,"[комедия]","[Франция]"
"Шпионские страсти",89,2006,"[комедия]","[Франция]"
"Изгоняющий дьявола: Приквел",117,2005,"[ужасы, триллер, драма]","[США]"
"Образы Европы",140,2004,"[драма, комедия]","[Австрия, Бельгия, Кипр, Чехия, Дания, Эстония, Финляндия, Франция, Германия, Греция, Венгрия, Ирландия, Италия, Латвия, Литва, Люксембург, Мальта, Нидерланды, Польша, Португалия, Словакия, Словения, Испания, Швеция, Великобритания]"
"Мягкий удар",100,2008,"[драма, мелодрама, криминал, детектив]","[Австралия]"
"Дежавю",126,2006,"[фантастика, боевик, триллер]","[США, Великобритания]"
"Аквамарин",104,2006,"[фэнтези, мелодрама, комедия, семейный]","[США, Австралия]"
"Гамильтоны",86,2006,"[ужасы, триллер, драма]","[США]"
"Бунтарка",103,2006,"[драма, комедия, спорт]","[США, Германия]"
"Каннибал из Ротенбурга",90,2006,"[ужасы, триллер, драма, криминал]","[Германия]"
"Хостел",94,2005,"[ужасы]","[США]"
"Раз придурок, два придурок",90,2008,"[комедия]","[США]"
"Растворение мира",135,2005,"[фэнтези]","[США, Япония]"
"Санта Клаус 3",88,2006,"[фэнтези, комедия, приключения, семейный]","[США]"
"Кровавый алмаз",143,2006,"[триллер, драма, приключения]","[США, Германия]"
"Небесные восхищения Нины",94,2006,"[комедия]","[Великобритания]"
"История одного вампира",109,2009,"[фэнтези, боевик, триллер, приключения]","[США]"
"Византийская принцесса",121,2006,"[приключения]","[Италия, Испания, Великобритания]"
"Черный лебедь",85,1942,"[боевик, драма, приключения, семейный, история]","[США]"
"8 миллиметров 2 (видео)",106,2005,"[триллер, драма, детектив]","[США, Венгрия]"
"Птеродактиль",89,2005,"[ужасы, фантастика, боевик, триллер, приключения]","[США]"
"Мой друг",84,2006,"[драма, комедия]","[Германия]"
"Че Гевара",102,2005,"[драма, мелодрама, военный, биография, история]","[США]"
"Двое бродяг",97,2005,"[драма]","[Португалия]"
"Неоспоримый 2",98,2006,"[боевик, драма, криминал, спорт]","[США]"
"Они умерли на своих постах",140,1941,"[драма, мелодрама, вестерн, военный, биография]","[США]"
"Не вижу зла",84,2006,"[ужасы, триллер]","[США, Австралия]"
"Любить и не сдаваться",157,2005,"[мелодрама, комедия]","[Швейцария, Индия]"
"Грустная история любви",150,2005,"[драма, мелодрама]","[Индия]"
"Кровь и песок",125,1941,"[драма, спорт]","[США]"
"Все вместе",84,2007,"[драма, мелодрама, комедия]","[Великобритания]"
"Вскрытие",85,2008,"[ужасы, триллер, детектив]","[США]"
"Мелисса: Интимный дневник",100,2005,"[драма]","[Италия, Испания]"
"Потерянные",119,2006,"[ужасы, триллер, драма, криминал]","[США]"
"Сочувствие госпоже Месть",112,2005,"[ужасы, триллер, драма, криминал]","[Корея Южная]"
"Борат",84,2006,"[комедия]","[США, Великобритания]"
"Блок Пати",103,2005,"[документальный, комедия, музыка]","[США]"
"Завоевать город",98,1940,"[драма, криминал, музыка]","[США]"
"Нож гильотины",122,2004,"[триллер, драма, комедия, криминал]","[Бельгия, Франция, Испания]"
"Знамение",121,2009,"[фантастика, триллер, драма, детектив]","[США, Великобритания, Австралия]"
"Далекая синяя высь",80,2005,"[фантастика]","[Германия, Франция, Австрия, Великобритания]"
"Я люблю Люси",80,1953,"[комедия]","[США]"
"Через Вселенную",133,2007,"[мюзикл, фэнтези, драма, мелодрама]","[США, Великобритания]"
"Правда и ничего кроме...",93,2006,"[драма, комедия]","[США, ЮАР, Италия]"
"Я живу в твоем сердце",160,1999,"[мелодрама]","[Индия]"
"Пивная лига",86,2006,"[комедия, спорт]","[США]"
"Фэй Грим",118,2006,"[боевик, триллер, комедия]","[США, Германия, Франция]"
"Рабство",120,2007,"[триллер, драма, криминал]","[Германия, США]"
"10 000 лет до н.э.",110,2008,"[фэнтези, боевик, драма, приключения, история]","[США, ЮАР]"
"Американский самурай (видео)",94,1992,"[боевик]","[США]"
"Нападение на Остров Дьявола (ТВ)",96,1997,"[боевик, триллер, приключения]","[США, Канада]"
"Нападение на Остров Дьявола 2: Гора Смерти (ТВ)",90,1998,"[боевик, триллер, приключения]","[Канада]"
"Темно-синий, почти черный",105,2006,"[драма]","[Испания]"
"Мсье Ибрагим и цветы Корана",96,2003,"[драма, комедия]","[Франция]"
"Озорной мир Тэкса Авери (сериал)",30,1997,"[мультфильм, комедия, семейный]","[США, Франция, Канада]"
"Олененок Рудольф (видео)",83,1998,"[мультфильм, мюзикл, мелодрама, приключения, семейный]","[США, Канада]"
"Олененок Рудольф 2: Остров потерянных игрушек (видео)",74,2001,"[мультфильм, мюзикл, комедия, семейный]","[США, Канада]"
"Пираты темной воды (сериал 1991 – 1992)",22,1991,"[мультфильм, фэнтези, боевик, приключения]","[США]"
"Скуби Ду едет в Голливуд (ТВ)",60,1979,"[мультфильм, комедия, детектив, семейный]","[США]"
"Скуби-Ду! встречает братьев Бу (ТВ)",93,1987,"[мультфильм, фэнтези, комедия]","[США]"
"Скуби-Ду! и нашествие инопланетян (видео)",74,2000,"[мультфильм, фантастика, комедия, детектив]","[США]"
"Маска (сериал 1995 – 1997)",22,1995,"[мультфильм, фэнтези, комедия]","[США]"
"Тупой и еще тупее (сериал 1995 – ...)",21,1995,"[мультфильм, комедия, семейный]","[США]"
"Скуби-Ду! Ночи Шахерезады (ТВ)",68,1994,"[мультфильм, фэнтези, комедия, детектив]","[США]"
"Легенда о принце Валианте (сериал 1991 – 1994)",22,1991,"[мультфильм, фэнтези, приключения]","[США]"
"Чокнутый (сериал 1993 – 1994)",22,1993,"[мультфильм, комедия, семейный]","[США]"
"Надзиратель",93,2001,"[комедия, криминал]","[Великобритания]"
"Секрет Анастасии (видео)","-",1997,"[мультфильм, семейный]","[США]"
"Овод (мини-сериал)",210,1980,"[драма]","[СССР]"
"Шестидесятые (ТВ)",240,1999,"[драма]","[США]"
"13-й воин",102,1999,"[боевик, детектив, приключения]","[США]"
"Скольжение (ТВ)",120,1998,"[триллер, детектив]","[США]"
"День восьмой",118,1996,"[драма, комедия]","[Бельгия, Франция, Великобритания]"
"Запретная любовь (ТВ)",105,2000,"[драма]","[США]"
"Проект 281 (ТВ)",86,1999,"[драма, биография]","[США, Великобритания]"
"Смятение чувств (ТВ)",90,1980,"[драма]","[Франция, Германия (ФРГ)]"
"Тайна леди Одли (ТВ)",108,2000,"[драма]","[Великобритания]"
"Ужас из бездны (ТВ)",91,2001,"[ужасы, фэнтези, триллер]","[США]"
"Не навреди (ТВ)",90,1997,"[драма]","[США, Канада]"
"Пари Матч (ТВ)",100,2000,"[драма, комедия]","[США]"
"Заживо погребенный 2 (ТВ)",97,1997,"[ужасы, триллер]","[США]"
"Похороненные заживо (ТВ)",89,1990,"[ужасы, триллер]","[США]"
"Суини Тодд (ТВ)",92,1997,"[ужасы, триллер, драма, криминал]","[Ирландия, США]"
"Свидетель против мафии (ТВ)",240,1998,"[драма, криминал]","[США]"
"Девушка, которая слишком много знала",92,1963,"[триллер, детектив]","[Италия]"
"Сюрприз для папаши (ТВ)",93,1997,"[комедия, семейный]","[Канада]"
"Приговоренный к смерти (ТВ)",104,1993,"[боевик, триллер, драма]","[США]"
"Новый дон (ТВ)",346,1999,"[драма, криминал]","[Канада, США, Италия]"
"Тело будет предано земле, а старший мичман будет петь",101,1998,"[комедия]","[Россия]"
"Семья",132,1987,"[мелодрама]","[Индия]"
"Муки невинных",102,1972,"[ужасы, триллер, детектив]","[Италия]"
"Мать",139,1991,"[драма]","[Франция]"
"Куклы",77,1986,"[ужасы, фэнтези]","[США, Италия]"
"Крысиная стая (ТВ)",120,1998,"[драма]","[США]"
"Проклятие Амитивилля (видео)",91,1989,"[ужасы]","[Канада, США]"
"Судороги ужаса (ТВ)",90,1997,"[ужасы, триллер]","[Канада]"
"Витрина (ТВ)",76,2000,"[мелодрама]","[Россия]"
"Шоссе номер 9 (ТВ)",105,1998,"[драма, криминал]","[США]"
"Молодая Екатерина (ТВ)",187,1990,"[драма, биография, история]","[Великобритания, США, Канада, СССР, Германия, Италия]"
"Вольный ветер (ТВ)",134,1983,"[мюзикл, мелодрама, комедия]","[СССР]"
"Зодиак",158,2007,"[триллер, драма, криминал, детектив]","[США]"
"Полицейская история",112,1975,"[триллер, драма, криминал]","[Франция, Италия]"
"Хочу быть хуже всех: История Денниса Родмана (ТВ)",120,1998,"[драма, биография, спорт]","[США, Канада]"
"Оливер Твист (ТВ)",91,1997,"[драма, криминал, семейный]","[США]"
"Бесы",116,1987,"[драма]","[Франция]"
"Клонические войны (сериал 2003 – 2005)",5,2003,"[мультфильм, фантастика, фэнтези, боевик, приключения]","[США, Корея Южная]"
"Девятый день",98,2004,"[триллер, драма, военный]","[Германия, Люксембург, Чехия]"
"Когда сталкиваются миры",83,1951,"[фантастика, семейный]","[США]"
"Без семьи (ТВ)",180,2000,"[драма]","[Чехия, Франция, Германия]"
"Ландыш серебристый 2 (сериал)",600,2004,"[драма, мелодрама, комедия]","[Россия]"
"Топор для новобрачной",88,1970,"[ужасы, триллер]","[Италия, Испания]"
"Буковски",130,2003,"[документальный, биография]","[США]"
"На острие: Волшебство киномонтажа",99,2004,"[документальный]","[США, Япония, Великобритания]"
"О, божественный пес!",103,1980,"[фэнтези, комедия, криминал, детектив]","[США]"
"Код да Винчи (видео)",88,2004,"[документальный, история]","[США]"
"Анастасия: Тайна Анны (ТВ)",200,1986,"[драма, детектив]","[США, Австрия, Италия]"
"Узы крови",117,1979,"[триллер, драма, мелодрама, криминал, детектив]","[США, Германия (ФРГ)]"
"Розовая пантера наносит ответный удар",103,1976,"[триллер, комедия, криминал]","[Великобритания, США]"
"Чешская мечта",90,2004,"[документальный, комедия]","[Чехия]"
"Таинственный остров",96,1972,"[фантастика, приключения]","[Испания, Франция, Италия, Камерун]"
"Ограбление",120,1971,"[боевик, триллер, криминал]","[Франция, Италия]"
"Гавайи, Осло",125,2004,"[драма]","[Дания, Швеция, Норвегия]"
"Взаимопонимание",109,2005,"[комедия]","[США]"
"Война крестоносцев",128,1971,"[драма, приключения, военный]","[Великобритания, США]"
"Затвор",97,2004,"[ужасы, триллер, детектив]","[Таиланд]"
"Непослушный Бабби",114,1993,"[комедия]","[Австралия, Италия]"
"Майерлинг",135,1968,"[драма, мелодрама, история]","[Великобритания, Франция]"
"Смешная девчонка",155,1968,"[мюзикл, драма, мелодрама, комедия, биография]","[США]"
"Воссоединение семьи Мэдеи",107,2006,"[драма, мелодрама, комедия]","[США]"
"Путешествие на край ночи",88,2006,"[триллер, драма]","[США, Германия, Бразилия]"
"Магазин на площади",125,1965,"[драма]","[Чехословакия]"
"Тени мертвых",92,2004,"[ужасы, драма]","[США]"
"Московские окна (сериал)",43,2001,"[драма]","[Россия]"
"Лучший город Земли (сериал)",44,2003,"[драма]","[Россия]"
"Принцесса на горошине",75,2002,"[мультфильм, фэнтези, семейный]","[США, Венгрия]"
"Дикость 3: Неограненные алмазы (ТВ)",87,2005,"[триллер, драма, криминал, детектив]","[США]"
"Рубаки Next (сериал)",30,1996,"[аниме, мультфильм, комедия]","[Япония]"
"Человек гризли (ТВ)",103,2005,"[документальный, биография]","[США]"
"Вскармливание",97,2005,"[ужасы, триллер, криминал]","[Австралия]"
"Дети шпионы","-",2004,"[боевик, комедия, приключения, семейный]","[США]"
"Черный ирландец",95,2007,"[драма]","[США]"
"Харакири",133,1962,"[драма, боевик, история]","[Япония]"
"Виола Тараканова (сериал 2004 – 2007)",45,2004,"[боевик, комедия, криминал, детектив]","[Россия]"
"Ангелы в Америке (мини-сериал)",352,2003,"[фэнтези, драма]","[США, Италия]"
"Слезы под дождем (ТВ)",100,1988,"[драма, мелодрама, военный]","[Великобритания]"
